ax,ay,az,gx,gy,gz
-0.094,-0.998,0.336,-49.191,-250.137,-139.679
-0.031,-0.907,0.286,-69.275,-250.137,-170.008
0.096,-0.820,0.151,-88.191,-250.137,-186.069
0.324,-0.689,-0.003,-102.290,-250.137,-181.618
0.436,-0.796,-0.101,-103.595,-250.137,-173.168
0.418,-0.871,-0.160,-100.389,-250.137,-159.015
0.416,-0.905,-0.249,-96.427,-250.137,-142.244
0.461,-0.843,-0.268,-92.618,-250.137,-127.504
0.097,-0.896,-0.118,-92.496,-250.137,-114.901
0.572,-0.811,-0.534,-99.595,-250.137,-104.359
0.324,-0.893,-0.455,-103.344,-208.038,-117.992
0.271,-0.850,-0.501,-101.847,-186.595,-133.832
0.299,-0.772,-0.588,-103.099,-172.969,-153.237
0.361,-0.654,-0.566,-100.374,-169.695,-170.588
0.414,-0.597,-0.624,-97.176,-168.779,-181.313
0.534,-0.518,-0.656,-94.618,-160.374,-181.679
0.592,-0.458,-0.665,-94.718,-173.992,-164.527
0.675,-0.425,-0.800,-86.168,-166.153,-133.305
0.723,-0.457,-0.796,-64.328,-160.634,-105.076
0.626,-0.545,-0.750,-55.473,-121.137,-84.489
0.587,-0.595,-0.730,-52.985,-83.145,-74.672
0.475,-0.551,-0.652,-41.687,-97.534,-74.160
0.334,-0.577,-0.692,-39.756,-76.344,-89.084
0.261,-0.555,-0.653,-39.504,-64.221,-108.435
0.305,-0.476,-0.637,-42.603,-63.252,-125.611
0.340,-0.399,-0.672,-40.901,-56.580,-141.466
0.293,-0.351,-0.713,-34.611,-46.206,-154.779
0.210,-0.316,-0.704,-25.809,-47.252,-162.321
0.197,-0.300,-0.727,-21.481,-27.763,-162.061
-0.042,-0.452,-0.786,2.901,3.168,-161.550
0.433,-0.505,-0.694,44.626,0.237,-173.153
0.555,-0.380,-0.528,60.893,18.321,-178.611
0.700,-0.338,-0.420,66.145,12.198,-168.229
0.753,-0.335,-0.413,66.427,-9.565,-148.397
0.707,-0.338,-0.406,54.473,4.443,-127.573
0.603,-0.370,-0.332,38.359,17.130,-109.061
0.553,-0.429,-0.274,19.672,17.611,-95.695
0.573,-0.447,-0.265,1.489,2.183,-89.656
0.675,-0.417,-0.311,-15.802,-12.237,-90.969
0.698,-0.422,-0.374,-30.802,-25.847,-91.443
0.665,-0.385,-0.448,-43.298,-40.359,-92.672
0.624,-0.441,-0.539,-50.718,-43.000,-93.824
0.604,-0.436,-0.637,-52.649,-35.649,-93.382
0.600,-0.389,-0.666,-49.260,-30.336,-89.137
0.668,-0.322,-0.635,-42.038,-36.733,-81.832
0.710,-0.287,-0.578,-42.924,-39.115,-77.298
0.726,-0.240,-0.647,-49.397,-47.176,-70.473
0.688,-0.258,-0.635,-52.595,-56.573,-60.168
0.661,-0.177,-0.670,-61.275,-55.191,-46.450
0.618,-0.112,-0.709,-66.878,-48.221,-35.725
0.546,-0.066,-0.873,-67.473,-30.405,-28.412
0.399,-0.104,-0.855,-54.336,-10.061,-29.153
0.217,-0.181,-1.002,-27.863,35.557,-40.580
0.138,-0.290,-1.172,15.198,93.649,-60.214
0.160,-0.314,-1.189,67.214,138.336,-78.298
0.319,-0.227,-1.011,114.282,166.924,-87.924
0.408,-0.106,-0.705,138.221,190.321,-92.824
0.476,-0.057,-0.444,137.504,200.198,-94.641
0.546,-0.060,-0.293,119.534,201.275,-94.115
0.612,-0.120,-0.192,98.595,198.153,-95.794
0.778,-0.123,-0.149,80.931,184.611,-101.229
0.913,-0.117,-0.138,68.321,169.046,-108.031
0.950,-0.148,-0.158,61.168,148.962,-114.107
0.942,-0.163,-0.236,60.580,136.328,-120.557
0.886,-0.131,-0.285,62.290,133.870,-127.450
0.816,-0.089,-0.321,69.710,144.802,-133.779
0.802,-0.078,-0.322,82.588,162.924,-139.344
0.839,-0.098,-0.234,95.267,182.252,-140.924
